期号,front1,front2,front3,front4,front5,back1,back2,日期,front_sum,front_span,front_odd_count,front_Zone1_count,front_Zone2_count,front_Zone3_count,front_consecutive_count,front_repeat_count,back_sum,back_span,back_odd_count,back_is_large
7053,11,16,19,21,25,1,10,2007-09-29,92,14,4,1,3,1,0,0,11,9,1,1
7054,4,10,19,29,34,3,6,2007-10-01,96,30,2,2,1,2,0,1,9,3,1,0
7055,10,16,24,31,33,7,10,2007-10-03,114,23,2,1,2,2,0,1,17,3,1,1
7056,4,11,17,20,21,5,9,2007-10-06,73,17,3,2,3,0,1,0,14,4,2,1
7057,14,16,30,32,35,6,7,2007-10-08,127,21,1,0,2,3,0,0,13,1,1,1
7058,8,21,25,28,33,2,6,2007-10-10,115,25,3,1,1,3,0,0,8,4,0,0
7059,4,15,23,31,33,3,9,2007-10-13,106,29,4,1,2,2,0,1,12,6,2,1
7060,12,13,29,30,31,4,7,2007-10-15,115,19,3,1,1,3,3,1,11,3,1,1
7061,2,10,19,28,29,2,9,2007-10-17,88,27,2,2,1,2,1,1,11,7,1,1
7062,1,4,10,14,29,11,12,2007-10-20,58,28,2,3,1,1,0,2,23,1,1,1
7063,10,31,33,34,35,7,12,2007-10-22,143,25,3,1,0,4,2,1,19,5,1,1
7064,2,16,32,33,35,5,10,2007-10-24,118,33,2,1,1,3,1,2,15,5,1,1
7065,19,20,24,29,31,9,10,2007-10-27,123,12,3,0,3,2,1,0,19,1,1,1
7066,4,7,8,19,24,7,12,2007-10-29,62,20,2,3,2,0,1,2,19,5,1,1
7067,11,18,25,30,31,4,9,2007-10-31,115,20,3,1,1,3,1,0,13,5,1,1
7068,4,9,13,14,33,6,10,2007-11-03,73,29,3,2,2,1,1,0,16,4,0,1
7069,2,13,16,21,35,1,5,2007-11-05,87,33,3,1,3,1,0,1,6,4,2,0
7070,7,26,29,30,35,3,4,2007-11-07,127,28,3,1,0,4,1,1,7,1,1,0
7071,10,22,32,33,35,1,7,2007-11-10,132,25,2,1,1,3,1,1,8,6,2,1
7072,21,24,26,27,33,1,5,2007-11-12,131,12,3,0,2,3,1,1,6,4,2,0
7073,4,5,9,12,23,2,11,2007-11-14,53,19,3,4,1,0,1,0,13,9,1,1
7074,16,17,23,24,31,5,10,2007-11-17,111,15,3,0,4,1,2,1,15,5,1,1
7075,5,11,20,30,32,7,11,2007-11-19,98,27,2,2,1,2,0,0,18,4,2,1
7076,2,9,12,15,31,9,10,2007-11-21,69,29,3,3,1,1,0,0,19,1,1,1
7077,4,6,12,13,24,1,4,2007-11-24,59,20,1,3,2,0,1,1,5,3,1,0
7078,9,12,14,22,23,1,2,2007-11-26,80,14,2,2,3,0,1,1,3,1,1,0
7079,6,9,25,26,31,2,8,2007-11-28,97,25,3,2,0,3,1,1,10,6,0,1
7080,1,15,20,25,27,5,10,2007-12-01,88,26,4,1,2,2,0,1,15,5,1,1
7081,6,18,20,22,35,4,9,2007-12-03,101,29,1,1,3,1,0,1,13,5,1,1
7082,3,5,14,33,34,7,8,2007-12-05,89,31,3,2,1,2,1,0,15,1,1,1
7083,1,5,20,21,24,3,4,2007-12-08,71,23,3,2,3,0,1,1,7,1,1,0
7084,5,11,18,29,34,10,11,2007-12-10,97,29,3,2,1,2,0,1,21,1,1,1
7085,17,24,28,29,33,2,5,2007-12-12,131,16,3,0,2,3,1,1,7,3,1,0
7086,14,18,19,26,28,3,9,2007-12-15,105,14,1,0,3,2,1,1,12,6,2,1
7087,8,18,30,31,33,4,9,2007-12-17,120,25,2,1,1,3,1,1,13,5,1,1
7088,17,18,21,23,33,6,10,2007-12-19,112,16,4,0,4,1,1,2,16,4,0,1
7089,8,13,24,30,34,1,12,2007-12-22,109,26,1,1,2,2,0,0,13,11,1,1
7090,4,20,24,31,33,9,12,2007-12-24,112,29,2,1,2,2,0,1,21,3,1,1
7091,7,12,26,31,32,3,8,2007-12-26,108,25,2,2,0,3,1,1,11,5,1,1
7092,6,19,27,28,29,6,10,2007-12-29,109,23,3,1,1,3,2,0,16,4,0,1
7093,6,8,16,25,27,8,12,2007-12-31,82,21,2,2,1,2,0,2,20,4,0,1
8001,1,2,11,34,35,3,10,2008-01-02,83,34,3,3,0,2,2,0,13,7,1,1
8002,1,12,24,31,32,10,12,2008-01-05,100,31,2,2,1,2,1,1,22,2,0,1
8003,1,11,13,32,35,2,7,2008-01-07,92,34,4,2,1,2,0,2,9,5,1,1
8004,9,22,24,31,33,8,9,2008-01-09,119,24,3,1,2,2,0,0,17,1,1,1
8005,18,25,29,31,34,9,10,2008-01-12,137,16,3,0,1,4,0,1,19,1,1,1
8006,10,12,26,29,34,5,7,2008-01-14,111,24,1,2,0,3,0,2,12,2,2,1
8007,3,4,5,12,28,3,12,2008-01-16,52,25,2,4,0,1,2,1,15,9,1,1
8008,2,6,8,17,32,8,9,2008-01-19,65,30,1,3,1,1,0,0,17,1,1,1
8009,4,8,12,24,30,5,8,2008-01-21,78,26,0,3,1,1,0,1,13,3,1,1
8010,6,23,24,27,29,6,8,2008-01-23,109,23,3,1,2,2,1,1,14,2,0,1
8011,14,20,22,24,27,7,10,2008-01-26,107,13,1,0,4,1,0,2,17,3,1,1
8012,2,10,29,32,35,2,3,2008-01-28,108,33,2,2,0,3,0,0,5,1,1,0
8013,1,11,19,22,35,5,9,2008-01-30,88,34,4,2,2,1,0,1,14,4,2,1
8014,4,7,10,28,34,1,6,2008-02-02,83,30,1,3,0,2,0,0,7,5,1,0
8015,9,18,20,27,33,6,9,2008-02-04,107,24,3,1,2,2,0,0,15,3,1,1
8016,8,10,11,17,19,6,9,2008-02-13,65,11,3,3,2,0,1,0,15,3,1,1
8017,2,14,25,29,32,1,6,2008-02-16,102,30,2,1,1,3,0,0,7,5,1,0
8018,3,6,7,11,30,2,3,2008-02-18,57,27,3,4,0,1,1,0,5,1,1,0
8019,8,24,25,29,31,4,5,2008-02-20,117,23,3,1,1,3,1,0,9,1,1,0
8020,4,5,15,17,33,4,8,2008-02-23,74,29,4,2,2,1,1,0,12,4,0,1
8021,5,10,13,21,24,4,9,2008-02-25,73,19,3,2,3,0,0,1,13,5,1,1
8022,9,12,13,25,31,8,10,2008-02-27,90,22,4,2,1,2,1,1,18,2,0,1
8023,6,26,31,32,34,7,10,2008-03-01,129,28,1,1,0,4,1,1,17,3,1,1
8024,8,12,17,20,30,1,2,2008-03-03,87,22,1,2,2,1,0,0,3,1,1,0
8025,6,10,12,15,28,4,12,2008-03-05,71,22,1,3,1,1,0,1,16,8,0,1
8026,1,21,22,24,25,8,10,2008-03-08,93,24,3,1,3,1,2,0,18,2,0,1
8027,5,17,23,31,32,4,8,2008-03-10,108,27,4,1,2,2,1,0,12,4,0,1
8028,3,11,17,19,26,7,12,2008-03-12,76,23,4,2,2,1,0,1,19,5,1,1
8029,6,11,18,29,30,4,11,2008-03-15,94,24,2,2,1,2,1,1,15,7,1,1
8030,3,21,23,26,35,5,8,2008-03-17,108,32,4,1,2,2,0,0,13,3,1,1
8031,14,20,23,27,28,2,4,2008-03-19,112,14,2,0,3,2,1,1,6,2,0,0
8032,3,9,19,27,33,9,10,2008-03-22,91,30,5,2,1,2,0,1,19,1,1,1
8033,3,10,21,23,30,1,9,2008-03-24,87,27,3,2,2,1,0,1,10,8,2,1
8034,6,7,18,34,35,5,10,2008-03-26,100,29,2,2,1,2,2,0,15,5,1,1
8035,2,12,13,29,30,5,7,2008-03-29,86,28,2,2,1,2,2,0,12,2,2,1
8036,9,19,22,30,32,1,10,2008-03-31,112,23,2,1,2,2,0,1,11,9,1,1
8037,11,20,24,31,35,4,10,2008-04-02,121,24,3,1,2,2,0,0,14,6,0,1
8038,12,13,19,32,33,2,10,2008-04-05,109,21,3,1,2,2,2,0,12,8,0,1
8039,7,11,15,27,35,4,7,2008-04-07,95,28,5,2,1,2,0,0,11,3,1,1
8040,4,8,19,22,29,8,11,2008-04-09,82,25,2,2,2,1,0,0,19,3,1,1
8041,7,17,21,22,28,5,10,2008-04-12,95,21,3,1,3,1,1,1,15,5,1,1
8042,5,10,13,32,35,4,5,2008-04-14,95,30,3,2,1,2,0,0,9,1,1,0
8043,5,8,10,31,33,2,4,2008-04-16,87,28,3,3,0,2,0,2,6,2,0,0
8044,2,21,23,27,32,10,11,2008-04-19,105,30,3,1,2,2,0,0,21,1,1,1
8045,14,32,33,34,35,2,4,2008-04-21,148,21,2,0,1,4,3,1,6,2,0,0
8046,11,25,26,27,35,7,8,2008-04-23,124,24,4,1,0,4,2,1,15,1,1,1
8047,12,18,22,23,30,6,12,2008-04-26,105,18,1,1,3,1,1,0,18,6,0,1
8048,1,13,22,25,27,2,10,2008-04-28,88,26,4,1,2,2,0,1,12,8,0,1
8049,1,11,14,28,30,3,10,2008-04-30,84,29,2,2,1,2,0,1,13,7,1,1
8050,1,5,11,26,27,3,7,2008-05-03,70,26,4,3,0,2,1,2,10,4,2,1
8051,1,7,9,11,33,3,11,2008-05-05,61,32,5,4,0,1,0,2,14,8,2,1
8052,3,18,19,30,35,5,9,2008-05-07,105,32,3,1,2,2,1,0,14,4,2,1
8053,1,13,21,23,32,3,6,2008-05-10,90,31,4,1,3,1,0,0,9,3,1,0
8054,5,14,23,31,35,2,6,2008-05-12,108,30,4,1,2,2,0,1,8,4,0,0
8055,2,14,28,30,35,4,12,2008-05-14,109,33,1,1,1,3,0,2,16,8,0,1
8056,15,19,25,30,31,3,9,2008-05-17,120,16,4,0,2,3,1,1,12,6,2,1
8057,5,8,9,17,33,5,6,2008-05-19,72,28,4,3,1,1,1,0,11,1,1,0
8058,3,9,11,29,33,3,12,2008-05-21,85,30,5,3,0,2,0,2,15,9,1,1
8059,7,13,21,25,31,8,10,2008-05-24,97,24,5,1,2,2,0,0,18,2,0,1
8060,3,13,17,23,30,1,11,2008-05-26,86,27,4,1,3,1,0,1,12,10,2,1
8061,7,10,14,19,32,3,6,2008-05-28,82,25,2,2,2,1,0,0,9,3,1,0
8062,1,15,27,28,29,3,10,2008-05-31,100,28,4,1,1,3,2,0,13,7,1,1
8063,7,11,24,30,35,6,8,2008-06-02,107,28,3,2,1,2,0,0,14,2,0,1
8064,14,18,24,27,31,6,7,2008-06-04,114,17,2,0,3,2,0,1,13,1,1,1
8065,19,22,23,25,32,6,12,2008-06-07,121,13,3,0,3,2,1,0,18,6,0,1
8066,2,7,21,22,25,4,12,2008-06-09,77,23,3,2,2,1,1,2,16,8,0,1
8067,3,10,14,15,22,4,7,2008-06-11,64,19,2,2,3,0,1,1,11,3,1,1
8068,6,9,11,33,34,6,10,2008-06-14,93,28,3,3,0,2,1,0,16,4,0,1
8069,5,13,16,29,33,6,8,2008-06-16,96,28,4,1,2,2,0,1,14,2,0,1
8070,9,17,18,21,31,1,5,2008-06-18,96,22,4,1,3,1,1,0,6,4,2,0
8071,1,5,11,14,25,1,9,2008-06-21,56,24,4,3,1,1,0,0,10,8,2,1
8072,10,25,32,33,34,3,9,2008-06-23,134,24,2,1,0,4,2,1,12,6,2,1
8073,2,5,6,7,31,8,10,2008-06-25,51,29,3,4,0,1,2,0,18,2,0,1
8074,10,13,22,31,35,4,12,2008-06-28,111,25,3,1,2,2,0,1,16,8,0,1
8075,1,10,13,30,33,6,7,2008-06-30,87,32,3,2,1,2,0,2,13,1,1,1
8076,3,5,10,27,34,1,12,2008-07-02,79,31,3,3,0,2,0,1,13,11,1,1
8077,1,8,21,33,34,5,7,2008-07-05,97,33,3,2,1,2,1,1,12,2,2,1
8078,8,17,20,28,31,7,11,2008-07-07,104,23,2,1,2,2,0,1,18,4,2,1
8079,20,23,26,32,33,5,12,2008-07-09,134,13,2,0,2,3,1,1,17,7,1,1
8080,6,9,29,31,33,5,11,2008-07-12,108,27,4,2,0,3,0,1,16,6,2,1
8081,7,8,20,22,29,4,7,2008-07-14,86,22,2,2,2,1,1,1,11,3,1,1
8082,15,19,29,33,35,1,2,2008-07-16,131,20,5,0,2,3,0,1,3,1,1,0
8083,6,14,15,30,31,3,10,2008-07-19,96,25,2,1,2,2,2,1,13,7,1,1
8084,2,17,20,22,25,5,11,2008-07-21,86,23,2,1,3,1,0,0,16,6,2,1
8085,3,7,13,15,19,2,10,2008-07-23,57,16,5,2,3,0,0,0,12,8,0,1
8086,1,6,10,22,35,3,7,2008-07-26,74,34,2,3,1,1,0,0,10,4,2,1
8087,14,22,32,33,35,1,5,2008-07-28,136,21,2,0,2,3,1,2,6,4,2,0
8088,7,11,19,27,31,2,3,2008-07-30,95,24,5,2,1,2,0,0,5,1,1,0
8089,8,13,24,32,33,3,9,2008-08-02,110,25,2,1,2,2,1,0,12,6,2,1
8090,4,11,18,33,34,2,6,2008-08-04,100,30,2,2,1,2,1,1,8,4,0,0
8091,9,13,19,22,25,4,10,2008-08-06,88,16,4,1,3,1,0,0,14,6,0,1
8092,3,23,26,32,34,4,9,2008-08-09,118,31,2,1,1,3,0,0,13,5,1,1
8093,6,7,10,24,30,5,8,2008-08-11,77,24,1,3,1,1,1,0,13,3,1,1
8094,7,12,19,27,34,11,12,2008-08-13,99,27,3,2,1,2,0,1,23,1,1,1
8095,3,4,11,21,25,1,7,2008-08-16,64,22,4,3,1,1,1,0,8,6,2,1
8096,6,7,12,25,28,2,12,2008-08-18,78,22,2,3,0,2,1,1,14,10,0,1
8097,1,10,31,33,35,3,10,2008-08-20,110,34,4,2,0,3,0,0,13,7,1,1
8098,7,10,22,27,33,4,8,2008-08-23,99,26,3,2,1,2,0,2,12,4,0,1
8099,3,18,23,25,30,6,10,2008-08-25,99,27,3,1,2,2,0,0,16,4,0,1
8100,12,20,26,29,30,2,6,2008-08-27,117,18,1,1,1,3,1,1,8,4,0,0
8101,10,13,23,31,33,4,11,2008-08-30,110,23,4,1,2,2,0,0,15,7,1,1
8102,5,25,26,29,35,3,10,2008-09-01,120,30,4,1,0,4,1,0,13,7,1,1
8103,2,11,22,30,34,4,9,2008-09-03,99,32,1,2,1,2,0,0,13,5,1,1
8104,7,8,10,24,34,8,11,2008-09-06,83,27,1,3,1,1,1,1,19,3,1,1
8105,12,21,22,26,35,4,5,2008-09-08,116,23,2,1,2,2,1,0,9,1,1,0
8106,3,5,21,28,33,2,6,2008-09-10,90,30,4,2,1,2,0,1,8,4,0,0
8107,1,2,13,15,16,4,9,2008-09-13,47,15,3,2,3,0,2,0,13,5,1,1
8108,11,16,24,29,32,9,11,2008-09-15,112,21,2,1,2,2,0,1,20,2,2,1
8109,1,10,18,28,34,5,8,2008-09-17,91,33,1,2,1,2,0,0,13,3,1,1
8110,5,16,25,27,33,4,9,2008-09-20,106,28,4,1,1,3,0,0,13,5,1,1
8111,2,11,12,14,19,5,9,2008-09-22,58,17,2,3,2,0,1,0,14,4,2,1
8112,4,18,26,32,33,5,8,2008-09-24,113,29,1,1,1,3,1,0,13,3,1,1
8113,11,14,17,19,22,1,8,2008-09-27,83,11,3,1,4,0,0,0,9,7,1,1
8114,2,3,22,27,31,6,7,2008-09-29,85,29,3,2,1,2,1,1,13,1,1,1
8115,7,9,19,21,33,7,10,2008-10-01,89,26,5,2,2,1,0,0,17,3,1,1
8116,6,8,15,24,31,1,3,2008-10-04,84,25,2,2,2,1,0,0,4,2,2,0
8117,13,23,24,25,30,2,8,2008-10-06,115,17,3,0,3,2,2,1,10,6,0,1
8118,6,9,19,25,30,6,12,2008-10-08,89,24,3,2,1,2,0,2,18,6,0,1
8119,1,2,10,19,27,1,11,2008-10-11,59,26,3,3,1,1,1,1,12,10,2,1
8120,21,23,24,25,32,3,4,2008-10-13,125,11,3,0,3,2,2,0,7,1,1,0
8121,11,23,24,32,35,4,10,2008-10-15,125,24,3,1,2,2,1,3,14,6,0,1
8122,3,6,12,20,29,9,12,2008-10-18,70,26,2,3,1,1,0,0,21,3,1,1
8123,1,6,12,28,31,8,9,2008-10-20,78,30,2,3,0,2,0,2,17,1,1,1
8124,2,10,13,29,33,6,10,2008-10-22,87,31,3,2,1,2,0,0,16,4,0,1
8125,1,4,28,33,34,6,11,2008-10-25,100,33,2,2,0,3,1,1,17,5,1,1
8126,9,29,32,34,35,1,8,2008-10-27,139,26,3,1,0,4,1,1,9,7,1,1
8127,8,21,22,31,33,1,7,2008-10-29,115,25,3,1,2,2,1,0,8,6,2,1
8128,12,15,23,24,25,10,11,2008-11-01,99,13,3,1,3,1,2,0,21,1,1,1
8129,13,16,20,25,27,4,5,2008-11-03,101,14,3,0,3,2,0,1,9,1,1,0
8130,3,5,22,29,34,7,12,2008-11-05,93,31,3,2,1,2,0,0,19,5,1,1
8131,8,9,12,21,32,7,11,2008-11-08,82,24,2,3,1,1,1,0,18,4,2,1
8132,6,14,24,27,29,5,9,2008-11-10,100,23,2,1,2,2,0,0,14,4,2,1
8133,10,12,15,33,35,3,9,2008-11-12,105,25,3,2,1,2,0,0,12,6,2,1
8134,11,13,15,28,35,8,10,2008-11-15,102,24,4,1,2,2,0,2,18,2,0,1
8135,7,22,25,29,33,1,12,2008-11-17,116,26,4,1,1,3,0,0,13,11,1,1
8136,3,28,29,32,34,1,6,2008-11-19,126,31,2,1,0,4,1,1,7,5,1,0
8137,1,10,25,32,35,5,9,2008-11-22,103,34,3,2,0,3,0,1,14,4,2,1
8138,4,5,18,22,35,7,8,2008-11-24,84,31,2,2,2,1,1,1,15,1,1,1
8139,1,6,10,14,22,6,8,2008-11-26,53,21,1,3,2,0,0,1,14,2,0,1
8140,2,9,11,29,32,8,9,2008-11-29,83,30,3,3,0,2,0,0,17,1,1,1
8141,9,15,18,30,34,4,5,2008-12-01,106,25,2,1,2,2,0,1,9,1,1,0
8142,6,18,21,30,35,8,9,2008-12-03,110,29,2,1,2,2,0,2,17,1,1,1
8143,1,2,22,29,32,1,4,2008-12-06,86,31,2,2,1,2,1,0,5,3,1,0
8144,10,19,27,28,33,5,12,2008-12-08,117,23,3,1,1,3,1,0,17,7,1,1
8145,5,16,27,29,30,5,11,2008-12-10,107,25,3,1,1,3,1,1,16,6,2,1
8146,9,23,24,26,33,7,12,2008-12-13,115,24,3,1,2,2,1,0,19,5,1,1
8147,16,18,19,24,35,11,12,2008-12-15,112,19,2,0,4,1,1,1,23,1,1,1
8148,3,7,20,33,35,4,7,2008-12-17,98,32,4,2,1,2,0,1,11,3,1,1
8149,2,5,6,27,29,3,4,2008-12-20,69,27,3,3,0,2,1,0,7,1,1,0
8150,1,9,10,15,25,3,8,2008-12-22,60,24,4,3,1,1,1,0,11,5,1,1
8151,7,10,27,31,34,8,9,2008-12-24,109,27,3,2,0,3,0,1,17,1,1,1
8152,3,5,14,20,33,7,11,2008-12-27,75,30,3,2,2,1,0,0,18,4,2,1
8153,2,4,6,25,26,2,5,2008-12-29,63,24,1,3,0,2,1,0,7,3,1,0
8154,5,7,10,29,32,4,6,2008-12-31,83,27,3,3,0,2,0,0,10,2,0,0
9001,1,15,23,27,30,4,10,2009-01-03,96,29,4,1,2,2,0,0,14,6,0,1
9002,1,4,7,12,30,5,10,2009-01-05,54,29,2,4,0,1,0,2,15,5,1,1
9003,16,18,23,30,32,2,11,2009-01-07,119,16,1,0,3,2,0,1,13,9,1,1
9004,1,3,22,32,35,6,10,2009-01-10,93,34,3,2,1,2,0,1,16,4,0,1
9005,10,11,15,31,32,5,8,2009-01-12,99,22,3,2,1,2,2,1,13,3,1,1
9006,2,4,22,31,35,9,12,2009-01-14,94,33,2,2,1,2,0,1,21,3,1,1
9007,6,14,15,29,35,6,11,2009-01-17,99,29,3,1,2,2,1,1,17,5,1,1
9008,4,17,21,29,31,2,12,2009-01-19,102,27,4,1,2,2,0,1,14,10,0,1
9009,12,18,23,26,32,6,9,2009-01-21,111,20,1,1,2,2,0,0,15,3,1,1
9010,2,9,12,21,29,7,11,2009-01-24,73,27,3,3,1,1,0,1,18,4,2,1
9011,2,11,13,14,21,2,4,2009-02-02,61,19,3,2,3,0,1,2,6,2,0,0
9012,2,5,20,25,31,10,12,2009-02-04,83,29,3,2,1,2,0,1,22,2,0,1
9013,5,24,26,30,35,5,12,2009-02-07,120,30,2,1,1,3,0,1,17,7,1,1
9014,8,14,15,25,26,7,9,2009-02-09,88,18,2,1,2,2,2,1,16,2,2,1
9015,1,5,10,16,27,3,4,2009-02-11,59,26,3,3,1,1,0,0,7,1,1,0
9016,10,11,20,26,27,9,11,2009-02-14,94,17,2,2,1,2,2,2,20,2,2,1
9017,5,11,23,26,33,4,12,2009-02-16,98,28,4,2,1,2,0,2,16,8,0,1
9018,1,6,13,28,29,3,9,2009-02-18,77,28,3,2,1,2,1,0,12,6,2,1
9019,4,29,31,32,35,4,10,2009-02-21,131,31,3,1,0,4,1,1,14,6,0,1
9020,5,16,18,32,35,2,11,2009-02-23,106,30,2,1,2,2,0,2,13,9,1,1
9021,1,15,31,32,34,3,8,2009-02-25,113,33,3,1,1,3,1,1,11,5,1,1
9022,12,14,17,34,35,4,11,2009-02-28,112,23,2,1,2,2,1,1,15,7,1,1
9023,15,17,21,27,33,7,11,2009-03-02,113,18,5,0,3,2,0,1,18,4,2,1
9024,29,31,32,33,35,10,11,2009-03-04,160,6,4,0,0,5,2,1,21,1,1,1
9025,3,17,22,23,33,4,10,2009-03-07,98,30,4,1,3,1,1,1,14,6,0,1
9026,24,30,31,32,34,10,12,2009-03-09,151,10,1,0,1,4,2,0,22,2,0,1
9027,3,22,26,33,34,9,10,2009-03-11,118,31,2,1,1,3,1,1,19,1,1,1
9028,6,20,30,32,35,9,11,2009-03-14,123,29,1,1,1,3,0,0,20,2,2,1
9029,3,4,13,17,24,4,11,2009-03-16,61,21,3,2,3,0,1,0,15,7,1,1
9030,1,7,27,30,32,1,4,2009-03-18,97,31,3,2,0,3,0,0,5,3,1,0
9031,7,11,19,21,22,1,11,2009-03-21,80,15,4,2,3,0,1,1,12,10,2,1
9032,4,12,20,26,29,6,10,2009-03-23,91,25,1,2,1,2,0,0,16,4,0,1
9033,2,8,18,21,32,8,11,2009-03-25,81,30,1,2,2,1,0,0,19,3,1,1
9034,5,19,31,32,35,4,9,2009-03-28,122,30,4,1,1,3,1,1,13,5,1,1
9035,3,7,9,28,33,3,8,2009-03-30,80,30,4,3,0,2,0,0,11,5,1,1
9036,2,12,26,31,33,9,10,2009-04-01,104,31,2,2,0,3,0,1,19,1,1,1
9037,17,18,19,25,31,1,11,2009-04-04,110,14,4,0,3,2,2,1,12,10,2,1
9038,6,17,20,29,32,4,5,2009-04-06,104,26,2,1,2,2,0,1,9,1,1,0
9039,1,3,7,10,33,3,4,2009-04-08,54,32,4,4,0,1,0,0,7,1,1,0
9040,3,16,30,32,33,1,10,2009-04-11,114,30,2,1,1,3,1,2,11,9,1,1
